2016/01/10 01:43:46 [error] 2461#0: *30 FastCGI sent in stderr: "PHP Notice:  Undefined property: Typecho_Http_Client_Adapter_Socket::$reponseBody in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 147
2016/01/13 22:21:43 [error] 20431#0: *7332 FastCGI sent in stderr: "PHP Notice:  Undefined property: Typecho_Http_Client_Adapter_Socket::$reponseBody in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 147
PHP Notice:  Undefined offset: 1 in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 149" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "GET /index.php/action/ajax?do=feed HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/admin/"
2016/01/13 22:21:57 [error] 20431#0: *7331 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/13 22:22:36 [error] 20431#0: *7331 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/index.php/page/3/"
2016/01/13 22:23:09 [error] 20431#0: *7331 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/index.php/category/self/"
2016/01/13 23:31:41 [error] 20431#0: *7460 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.17, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/14 01:20:05 [error] 20431#0: *7699 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.9, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/14 07:39:25 [error] 20431#0: *8180 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.51, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/page/2/"
2016/01/14 07:39:25 [error] 20431#0: *8191 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.51, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/14 07:39:26 [error] 20431#0: *8187 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.51, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/category/other/"
2016/01/14 07:39:27 [error] 20431#0: *8202 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.51, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/14 07:39:28 [error] 20431#0: *8207 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.51, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/2015/06/"
2016/01/14 07:39:28 [error] 20431#0: *8216 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.51, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/14 11:04:40 [error] 20430#0: *8459 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 130.193.51.47, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/14 16:09:06 [error] 20431#0: *8873 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.145.15.121, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/14 16:47:51 [error] 20432#0: *8935 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 141.8.132.26, server: winecat.me, request: "GET /index.php/archives/35/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/14 17:46:20 [error] 20431#0: *9046 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 130.193.51.47, server: winecat.me, request: "GET /index.php/2015/06/page/1/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/14 22:55:35 [error] 20432#0: *9595 FastCGI sent in stderr: "PHP Notice:  Undefined property: Typecho_Http_Client_Adapter_Socket::$reponseBody in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 147
PHP Notice:  Undefined offset: 1 in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 149" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "GET /index.php/action/ajax?do=feed HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/"
2016/01/14 22:56:06 [error] 20432#0: *9603 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "POST /index.php/action/contents-page-edit?_=61103ad5c7eb1acc5eb5ed1f4b0e8c6c HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-page.php?cid=2"
2016/01/14 22:57:23 [error] 20432#0: *9603 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "POST /index.php/action/contents-page-edit?_=61103ad5c7eb1acc5eb5ed1f4b0e8c6c HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-page.php?cid=2"
2016/01/14 22:58:02 [error] 20432#0: *9603 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "POST /index.php/action/contents-page-edit?_=61103ad5c7eb1acc5eb5ed1f4b0e8c6c HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-page.php?cid=2"
2016/01/14 22:58:27 [error] 20432#0: *9603 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "POST /index.php/action/contents-page-edit?_=61103ad5c7eb1acc5eb5ed1f4b0e8c6c HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-page.php?cid=2"
2016/01/14 23:06:14 [error] 20432#0: *9684 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "POST /index.php/action/contents-page-edit?_=61103ad5c7eb1acc5eb5ed1f4b0e8c6c HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-page.php?cid=2"
2016/01/14 23:07:42 [error] 20432#0: *9699 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "POST /index.php/action/contents-page-edit?_=61103ad5c7eb1acc5eb5ed1f4b0e8c6c HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-page.php?cid=2"
2016/01/14 23:08:03 [error] 20432#0: *9699 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "POST /index.php/action/contents-page-edit?_=61103ad5c7eb1acc5eb5ed1f4b0e8c6c HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-page.php?cid=2"
2016/01/14 23:08:30 [error] 20432#0: *9699 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "POST /index.php/action/contents-page-edit?_=61103ad5c7eb1acc5eb5ed1f4b0e8c6c HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-page.php?cid=2"
2016/01/14 23:09:15 [error] 20432#0: *9699 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "POST /index.php/action/contents-page-edit?_=61103ad5c7eb1acc5eb5ed1f4b0e8c6c HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-page.php?cid=2"
2016/01/14 23:10:28 [error] 20432#0: *9699 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "POST /index.php/action/contents-page-edit?_=61103ad5c7eb1acc5eb5ed1f4b0e8c6c HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-page.php?cid=2"
2016/01/14 23:11:40 [error] 20432#0: *9699 FastCGI sent in stderr: "PHP Notice:  Undefined index: cid in /data/web/winecat/typecho/var/Widget/Contents/Post/Edit.php on line 254" while reading response header from upstream, client: 119.131.143.210, server: winecat.me, request: "POST /index.php/action/contents-page-edit?_=61103ad5c7eb1acc5eb5ed1f4b0e8c6c HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/write-page.php?cid=2"
2016/01/14 23:20:47 [error] 20432#0: *9835 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.6, server: winecat.me, request: "GET /index.php/author/1/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 00:40:31 [error] 20432#0: *9947 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 117.151.17.89, server: winecat.me, request: "GET /index.php/tag/erlang/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 00:40:42 [error] 20432#0: *9947 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 117.151.17.89, server: winecat.me, request: "GET /index.php/archives/35/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 02:16:07 [error] 20432#0: *10122 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.4, server: winecat.me, request: "GET /index.php/feed/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 02:21:03 [error] 20432#0: *10129 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.1, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 04:48:22 [error] 20432#0: *10367 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.9, server: winecat.me, request: "GET /index.php/tag/erlang/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 04:58:11 [error] 20432#0: *10380 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.18, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 05:17:50 [error] 20432#0: *10404 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.6, server: winecat.me, request: "GET /index.php/archives/35/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 07:15:43 [error] 20432#0: *10570 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.8, server: winecat.me, request: "GET /index.php/author/1/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 08:10:22 [error] 20430#0: *10663 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.13, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 09:15:34 [error] 20430#0: *10761 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 5.255.253.113, server: winecat.me, request: "GET /index.php/tag/erlang/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 09:19:24 [error] 20430#0: *10793 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.14, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/page/2/"
2016/01/15 09:19:24 [error] 20430#0: *10806 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.14, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/15 09:19:25 [error] 20430#0: *10811 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.14, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/category/other/"
2016/01/15 09:19:25 [error] 20430#0: *10820 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.14, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/15 09:19:26 [error] 20430#0: *10820 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.14, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz", referrer: "http://www.fuck-note.xyz/index.php/2015/06/"
2016/01/15 09:19:26 [error] 20430#0: *10833 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 64.79.100.14, server: winecat.me, request: "GET /index.php/2015/06/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.fuck-note.xyz"
2016/01/15 11:01:56 [error] 20430#0: *10977 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.10, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 15:49:20 [error] 20430#0: *11328 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.8, server: winecat.me, request: "GET /index.php/feed/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 15:54:01 [error] 20430#0: *11336 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 104.192.108.10, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/15 18:18:47 [error] 20430#0: *11525 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.2, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 18:20:41 [error] 20430#0: *11529 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 130.193.51.47, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 18:26:17 [error] 20430#0: *11540 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 42.156.138.64, server: winecat.me, request: "GET /index.php/page/2/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 18:26:17 [error] 20430#0: *11544 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 42.120.160.64, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
2016/01/15 18:41:18 [error] 20430#0: *11561 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 203.208.60.8, server: winecat.me, request: "GET /index.php/feed/author/1/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me"
